#      nrxq,    tp64,   tp128,   tp192,   tp256,   tp512,  tp1024,  tp1514
1, 1910264,    1915619,    1912554,    1914690,    1913304,    1915633,    1623060
2, 3703146,    3712898,    3708512,    3708895,    3713608,    2389878,    1626312
3, 5442223,    5442613,    5454621,    5436647,    4696740,    2395769,    1630478
4, 7283543,    7288962,    7298651,    7297001,    4696689,    2393347,    1628833
5, 8928849,    8929756,    8945625,    8910457,    4701515,    2393391,    1628864
6, 10580218,   10498941,   10594147,    9050314,    4690366,    2387495,    1623069
7, 12172498,   11791475,   11546675,    8860043,    4591769,    2337223,    1588841

