#      nrxq,    tp64,   tp128,   tp192,   tp256,   tp512,  tp1024,  tp1514
1, 1283,       2273,       3249,       4224,       8169,      16015,      20008
2, 2486,       4401,       6314,       8198,      15794,      20008,      20008
3, 3639,       6437,       9246,      11996,      19988,      19988,      20008
4, 4887,       8639,      12380,      16124,      19988,      19988,      20008
5, 5987,      10551,      15178,      19785,      19987,      19988,      19988
6, 7047,      12509,      17911,      20008,      19988,      19988,      19988
7, 8166,      14476,      20008,      20008,      19988,      19988,      19988
