# n_burst,    0,    64,   512,  1514
        1,   16,    18,    18,    18
        4,   16,    74,    74,    72
        8,   17,   290,   290,   291
       16,   16,   380,   377,   380
       24,   16,   377,   378,   381
       32,   16,   388,   386,   385
       40,   16,   370,   375,   375
       48,   17,   382,   380,   380
       56,   17,   380,   381,   378
       64,   17,   382,   380,   380
